急用 (きゅうよう)
急落 (きゅうらく)
急流 (きゅうりゅう)
強意 (きょうい)
教育 (きょういく)
教員 (きょういん)
強化 (きょうか)
教化 (きょうか)
強者 (きょうしゃ)
教習所 (きょうしゅうしょ)
教習所 (きょうしゅうじょ)
強打 (きょうだ)
橋台 (きょうだい)
強調 (きょうちょう)
強度 (きょうど)
教練 (きょうれん)
局員 (きょくいん)
局所 (きょくしょ)
曲線 (きょくせん)
局地 (きょくち)
局長 (きょくちょう)
曲調 (きょくちょう)
局内 (きょくない)
局番 (きょくばん)
局部 (きょくぶ)
局面 (きょくめん)
曲面 (きょくめん)
曲目 (きょくもく)
去年 (きょねん)
去来 (きょらい)
起用 (きよう)
起立 (きりつ)
切取り (きりとり)
気流 (きりゅう)
帰路 (きろ)
金銀 (きんぎん)
近県 (きんけん)
金庫 (きんこ)
近所 (きんじょ)
近世 (きんせい)
近代 (きんだい)
近着 (きんちゃく)
金打 (きんちょう)
金品 (きんぴん)
気味 (ぎみ)
業界 (ぎょうかい)
業者 (ぎょうしゃ)
行商 (ぎょうしょう)
行事 (ぎょうじ)
形相 (ぎょうそう)
行列 (ぎょうれつ)
銀色 (ぎんいろ)
銀行 (ぎんこう)
銀山 (ぎんざん)
食い意地 (くいいじ)
空港 (くうこう)
空想 (くうそう)
空調 (くうちょう)
空転 (くうてん)
空路 (くうろ)
区画 (くかく)
区間 (くかん)
苦学 (くがく)
区切 (くぎ)
苦行 (くぎょう)
区切り (くぎり)
苦言 (くげん)
苦心 (くしん)
薬指 (くすりゆび)
曲者 (くせもの)
区長 (くちょう)
口調 (くちょう)
区内 (くない)
苦肉 (くにく)
区分 (くぶん)
工面 (くめん)
区役所 (くやくしょ)
苦楽 (くらく)
区立 (くりつ)
車代 (くるまだい)
黒豆 (くろまめ)
区分け (くわけ)
君主 (くんしゅ)
具合 (ぐあい)
具合い (ぐあい)
具申 (ぐしん)
具体 (ぐたい)
具体化 (ぐたいか)
軽工業 (けいこうぎょう)
形式 (けいしき)
軽食 (けいしょく)
軽重 (けいじゅう)
軽水 (けいすい)
係数 (けいすう)
形相 (けいそう)
軽重 (けいちょう)
軽度 (けいど)
軽油 (けいゆ)
毛皮 (けがわ)
化身 (けしん)
決起 (けっき)
血球 (けっきゅう)
決行 (けっこう)
血行 (けっこう)
決算 (けっさん)
決死 (けっし)
決勝 (けっしょう)
血小板 (けっしょうばん)
血色 (けっしょく)
決心 (けっしん)
血相 (けっそう)
決着 (けっちゃく)
決定 (けってい)
決意 (けつい)
血族 (けつぞく)
血流 (けつりゅう)
気配 (けはい)
毛深 (けぶか)
県下 (けんか)
県会 (けんかい)
県外 (けんがい)
研究 (けんきゅう)
研究会 (けんきゅうかい)
研究室 (けんきゅうしつ)
研究所 (けんきゅうしょ)
研究所 (けんきゅうじょ)
犬歯 (けんし)
県人 (けんじん)
県道 (けんどう)
県内 (けんない)
見物 (けんぶつ)
県立 (けんりつ)
