業態 (ぎょうたい)
業務 (ぎょうむ)
魚眼 (ぎょがん)
魚群 (ぎょぐん)
義理 (ぎり)
技量 (ぎりょう)
銀河 (ぎんが)
銀製 (ぎんせい)
空輸 (くうゆ)
区営 (くえい)
久遠 (くおん)
苦境 (くきょう)
句切り (くぎり)
句集 (くしゅう)
苦情 (くじょう)
句点 (くてん)
句読点 (くとうてん)
組版 (くみはん)
訓示 (くんじ)
訓導 (くんどう)
具備 (ぐび)
群居 (ぐんきょ)
軍師 (ぐんし)
軍資金 (ぐんしきん)
群集 (ぐんしゅう)
群小 (ぐんしょう)
群生 (ぐんせい)
群像 (ぐんぞう)
軍団 (ぐんだん)
群島 (ぐんとう)
群発 (ぐんぱつ)
軍備 (ぐんび)
群落 (ぐんらく)
経営 (けいえい)
経過 (けいか)
軽快 (けいかい)
軽金属 (けいきんぞく)
経験 (けいけん)
軽減 (けいげん)
形質 (けいしつ)
形状 (けいじょう)
経常 (けいじょう)
形勢 (けいせい)
経線 (けいせん)
計測 (けいそく)
軽率 (けいそつ)
形態 (けいたい)
境内 (けいだい)
経度 (けいど)
経年 (けいねん)
軽犯罪 (けいはんざい)
経費 (けいひ)
経由 (けいゆ)
形容 (けいよう)
経理 (けいり)
計略 (けいりゃく)
係留 (けいりゅう)
経歴 (けいれき)
経路 (けいろ)
毛織物 (けおりもの)
欠格 (けっかく)
結構 (けっこう)
欠損 (けっそん)
血統 (けっとう)
潔白 (けっぱく)
血圧 (けつあつ)
血液 (けつえき)
血液型 (けつえきがた)
決断 (けつだん)
結団 (けつだん)
仮病 (けびょう)
険悪 (けんあく)
検案 (けんあん)
検印 (けんいん)
県営 (けんえい)
検温 (けんおん)
見解 (けんかい)
検眼 (けんがん)
検挙 (けんきょ)
健康保険 (けんこうほけん)
検査 (けんさ)
検察 (けんさつ)
検札 (けんさつ)
検察官 (けんさつかん)
健在 (けんざい)
検算 (けんざん)
検死 (けんし)
見識 (けんしき)
券種 (けんしゅ)
研修 (けんしゅう)
検出 (けんしゅつ)
検証 (けんしょう)
検事 (けんじ)
件数 (けんすう)
県政 (けんせい)
建設 (けんせつ)
建造 (けんぞう)
建造物 (けんぞうぶつ)
検知 (けんち)
建築 (けんちく)
建築士 (けんちくし)
検定 (けんてい)
券売機 (けんばいき)
検分 (けんぶん)
検便 (けんべん)
健保 (けんぽ)
件名 (けんめい)
検問 (けんもん)
芸術 (げいじゅつ)
芸能 (げいのう)
芸能人 (げいのうじん)
月刊 (げっかん)
月経 (げっけい)
月謝 (げっしゃ)
月報 (げっぽう)
月額 (げつがく)
解毒 (げどく)
解熱 (げねつ)
下略 (げりゃく)
減圧 (げんあつ)
原因 (げんいん)
原液 (げんえき)
減益 (げんえき)
現役 (げんえき)
原価 (げんか)
減価 (げんか)
現下 (げんか)
限界 (げんかい)
減額 (げんがく)
減給 (げんきゅう)
