興亡 (こうぼう)
高密 (こうみつ)
紅葉 (こうよう)
高覧 (こうらん)
降臨 (こうりん)
公論 (こうろん)
口論 (こうろん)
呼応 (こおう)
氷砂糖 (こおりざとう)
呼気 (こき)
小刻み (こきざみ)
呼吸 (こきゅう)
故郷 (こきょう)
刻印 (こくいん)
穀雨 (こくう)
国策 (こくさく)
国宝 (こくほう)
穀物 (こくもつ)
穀類 (こくるい)
国論 (こくろん)
故障 (こしょう)
古樹 (こじゅ)
古城 (こじょう)
骨格 (こっかく)
国権 (こっけん)
骨子 (こっし)
骨折 (こっせつ)
骨頂 (こっちょう)
骨片 (こっぺん)
骨肉 (こつにく)
個展 (こてん)
子供 (こども)
小降り (こぶり)
困苦 (こんく)
根源 (こんげん)
困難 (こんなん)
今晩 (こんばん)
混乱 (こんらん)
業腹 (ごうはら)
合否 (ごうひ)
強欲 (ごうよく)
誤解 (ごかい)
ご確認 (ごかくにん)
誤記 (ごき)
極秘 (ごくひ)
護憲 (ごけん)
ご検討 (ごけんとう)
語源 (ごげん)
ご高覧 (ごこうらん)
五穀 (ごこく)
午后 (ごご)
誤差 (ごさ)
誤射 (ごしゃ)
ご就任 (ごしゅうにん)
誤植 (ごしょく)
誤信 (ごしん)
誤字 (ごじ)
ご盛運 (ごせいうん)
ご盛業 (ごせいぎょう)
ご盛大 (ごせいだい)
誤想 (ごそう)
誤操作 (ごそうさ)
ご存知 (ごぞんじ)
五段活用 (ごだんかつよう)
誤動作 (ごどうさ)
誤認 (ごにん)
ご発展 (ごはってん)
誤聞 (ごぶん)
誤報 (ごほう)
誤訳 (ごやく)
誤用 (ごよう)
ご来臨 (ごらいりん)
勤行 (ごんぎょう)
権化 (ごんげ)
差異 (さい)
裁可 (さいか)
裁決 (さいけつ)
最高裁 (さいこうさい)
最高潮 (さいこうちょう)
最小値 (さいしょうち)
採寸 (さいすん)
最盛期 (さいせいき)
最善 (さいぜん)
最大値 (さいだいち)
裁断 (さいだん)
裁定 (さいてい)
災難 (さいなん)
裁判 (さいばん)
裁判官 (さいばんかん)
裁判所 (さいばんしょ)
採否 (さいひ)
細密 (さいみつ)
最優先 (さいゆうせん)
裁量 (さいりょう)
逆巻 (さかま)
酒蒸 (さかむし)
酒蒸し (さかむし)
酒盛り (さかもり)
作詞 (さくし)
策士 (さくし)
策定 (さくてい)
策動 (さくどう)
昨晩 (さくばん)
策略 (さくりゃく)
差障り (さしさわり)
査収 (さしゅう)
冊子 (さっし)
殺傷 (さっしょう)
冊数 (さっすう)
砂糖 (さとう)
左派 (さは)
砂防 (さぼう)
百日紅 (さるすべり)
三権 (さんけん)
散骨 (さんこつ)
散策 (さんさく)
蚕糸 (さんし)
蚕食 (さんしょく)
算段 (さんだん)
三段腹 (さんだんばら)
山頂 (さんちょう)
参拝 (さんぱい)
賛否 (さんぴ)
山腹 (さんぷく)
散乱 (さんらん)
産卵 (さんらん)
在勤 (ざいきん)
財源 (ざいげん)
在郷 (ざいごう)
在宅 (ざいたく)
財宝 (ざいほう)
座高 (ざこう)
座席 (ざせき)
座像 (ざぞう)
座談 (ざだん)
座長 (ざちょう)
雑誌 (ざっし)
雑俳 (ざっぱい)
座標 (ざひょう)
座布団 (ざぶとん)
座薬 (ざやく)
座右 (ざゆう)
残映 (ざんえい)
残存 (ざんそん)
残存 (ざんぞん)
私案 (しあん)
私意 (しい)
私営 (しえい)
私益 (しえき)
視界 (しかい)
視覚 (しかく)
私学 (しがく)
指揮 (しき)
至急 (しきゅう)
至急 (しきゅう)
試供品 (しきょうひん)
至近 (しきん)
私見 (しけん)
試験片 (しけんへん)
至言 (しげん)
資源 (しげん)
至高 (しこう)
私語 (しご)
至極 (しごく)
視察 (しさつ)
私財 (しざい)
試射 (ししゃ)
四捨五入 (ししゃごにゅう)
支署 (ししょ)
支障 (ししょう)
死傷 (ししょう)
私書箱 (ししょばこ)
指針 (ししん)
私信 (ししん)
私心 (ししん)
私事 (しじ)
四重奏 (しじゅうそう)
私情 (しじょう)
至上 (しじょう)
誌上 (しじょう)
姿勢 (しせい)
私製 (しせい)
私生活 (しせいかつ)
私生児 (しせいじ)
私設 (しせつ)
視線 (しせん)
死蔵 (しぞう)
姿態 (したい)
下値 (したね)
私大 (しだい)
質権 (しちけん)
