用例 (ようれい)
養老 (ようろう)
要録 (ようろく)
浴室 (よくしつ)
浴場 (よくじょう)
浴用 (よくよう)
予告 (よこく)
予選 (よせん)
予兆 (よちょう)
予約 (よやく)
来季 (らいき)
来航 (らいこう)
来信 (らいしん)
来歴 (らいれき)
落差 (らくさ)
落札 (らくさつ)
落成 (らくせい)
落選 (らくせん)
楽観 (らっかん)
利害 (りがい)
利器 (りき)
力士 (りきし)
力説 (りきせつ)
力戦 (りきせん)
力量 (りきりょう)
陸運 (りくうん)
陸海軍 (りくかいぐん)
陸軍 (りくぐん)
陸上 (りくじょう)
陸地 (りくち)
陸路 (りくろ)
利子 (りし)
利息 (りそく)
利他 (りた)
陸橋 (りっきょう)
立法 (りっぽう)
立案 (りつあん)
利点 (りてん)
利得 (りとく)
理念 (りねん)
利発 (りはつ)
利便 (りべん)
利回り (りまわり)
流言飛語 (りゅうげんひご)
流産 (りゅうざん)
流失 (りゅうしつ)
流量 (りゅうりょう)
量感 (りょうかん)
両側 (りょうがわ)
両極 (りょうきょく)
料金 (りょうきん)
良好 (りょうこう)
量産 (りょうさん)
両氏 (りょうし)
量子 (りょうし)
良心 (りょうしん)
良人 (りょうじん)
量的 (りょうてき)
両得 (りょうとく)
料理 (りょうり)
旅費 (りょひ)
利用 (りよう)
利用者 (りようしゃ)
理路整然 (りろせいぜん)
林産 (りんさん)
輪唱 (りんしょう)
輪転 (りんてん)
類語 (るいご)
類書 (るいしょ)
類焼 (るいしょう)
類字 (るいじ)
類同 (るいどう)
類別 (るいべつ)
冷暗所 (れいあんしょ)
冷夏 (れいか)
例会 (れいかい)
例外 (れいがい)
冷害 (れいがい)
冷気 (れいき)
冷血 (れいけつ)
冷血漢 (れいけつかん)
例月 (れいげつ)
冷笑 (れいしょう)
冷水 (れいすい)
冷静 (れいせい)
冷戦 (れいせん)
令息 (れいそく)
例題 (れいだい)
冷熱 (れいねつ)
例年 (れいねん)
冷風 (れいふう)
例文 (れいぶん)
礼法 (れいほう)
歴史 (れきし)
歴然 (れきぜん)
歴代 (れきだい)
列挙 (れっきょ)
列席 (れっせき)
列伝 (れつでん)
連関 (れんかん)
連記 (れんき)
連休 (れんきゅう)
連係 (れんけい)
連結 (れんけつ)
連言 (れんげん)
連行 (れんこう)
連語 (れんご)
連合 (れんごう)
連作 (れんさく)
連山 (れんざん)
連勝 (れんしょう)
連日 (れんじつ)
連成 (れんせい)
連戦 (れんせん)
連想 (れんそう)
連続 (れんぞく)
連続体 (れんぞくたい)
連体 (れんたい)
連帯 (れんたい)
連隊 (れんたい)
練達 (れんたつ)
連打 (れんだ)
連中 (れんちゅう)
連動 (れんどう)
連年 (れんねん)
連敗 (れんぱい)
連発 (れんぱつ)
連文節 (れんぶんせつ)
連名 (れんめい)
連夜 (れんや)
連用 (れんよう)
連用形 (れんようけい)
連立 (れんりつ)
老化 (ろうか)
労苦 (ろうく)
老後 (ろうご)
労作 (ろうさく)
労使 (ろうし)
労相 (ろうしょう)
老弱 (ろうじゃく)
老中 (ろうじゅう)
老人 (ろうじん)
労組 (ろうそ)
老体 (ろうたい)
労働 (ろうどう)
老夫 (ろうふ)
老父 (ろうふ)
老母 (ろうぼ)
老木 (ろうぼく)
労力 (ろうりょく)
老練 (ろうれん)
録音 (ろくおん)
録画 (ろくが)
六法 (ろっぽう)
和英 (わえい)
和議 (わぎ)
輪切り (わぎり)
和戦 (わせん)
話法 (わほう)
