近辺 (きんぺん)
金脈 (きんみゃく)
金利 (きんり)
議案 (ぎあん)
議員 (ぎいん)
議院 (ぎいん)
議会 (ぎかい)
議決 (ぎけつ)
議事 (ぎじ)
議事堂 (ぎじどう)
議場 (ぎじょう)
議事録 (ぎじろく)
議席 (ぎせき)
議題 (ぎだい)
議長 (ぎちょう)
議定 (ぎてい)
業種 (ぎょうしゅ)
行司 (ぎょうじ)
行末 (ぎょうまつ)
漁協 (ぎょきょう)
漁業 (ぎょぎょう)
漁具 (ぎょぐ)
漁港 (ぎょこう)
漁場 (ぎょじょう)
漁船 (ぎょせん)
漁村 (ぎょそん)
漁夫 (ぎょふ)
漁民 (ぎょみん)
魚類 (ぎょるい)
銀貨 (ぎんか)
銀賞 (ぎんしょう)
空位 (くうい)
空軍 (くうぐん)
空席 (くうせき)
空冷 (くうれい)
苦笑 (くしょう)
苦節 (くせつ)
苦戦 (くせん)
果物 (くだもの)
口説 (くど)
首輪 (くびわ)
工夫 (くふう)
区別 (くべつ)
区民 (くみん)
苦労 (くろう)
訓育 (くんいく)
訓告 (くんこく)
訓読み (くんよみ)
訓令 (くんれい)
訓練 (くんれん)
訓話 (くんわ)
宮司 (ぐうじ)
具象 (ぐしょう)
具体的 (ぐたいてき)
具体例 (ぐたいれい)
軍医 (ぐんい)
軍歌 (ぐんか)
軍功 (ぐんこう)
軍港 (ぐんこう)
軍国 (ぐんこく)
軍神 (ぐんしん)
軍事 (ぐんじ)
軍人 (ぐんじん)
軍隊 (ぐんたい)
軍配 (ぐんばい)
軍部 (ぐんぶ)
郡部 (ぐんぶ)
軍用 (ぐんよう)
景観 (けいかん)
景気 (けいき)
計器 (けいき)
計算機 (けいさんき)
形象 (けいしょう)
景勝 (けいしょう)
形成 (けいせい)
係争 (けいそう)
競馬 (けいば)
競売 (けいばい)
景品 (けいひん)
軽便 (けいべん)
計量 (けいりょう)
競輪 (けいりん)
消印 (けしいん)
景色 (けしき)
欠課 (けっか)
結果 (けっか)
結界 (けっかい)
血管 (けっかん)
結局 (けっきょく)
欠航 (けっこう)
結社 (けっしゃ)
結集 (けっしゅう)
決勝戦 (けっしょうせん)
欠食 (けっしょく)
結成 (けっせい)
血清 (けっせい)
欠席 (けっせき)
結石 (けっせき)
決戦 (けっせん)
結線 (けっせん)
結束 (けっそく)
欠点 (けってん)
欠員 (けついん)
決議 (けつぎ)
結言 (けつげん)
結合 (けつごう)
結実 (けつじつ)
欠場 (けつじょう)
欠番 (けつばん)
決別 (けつべつ)
結末 (けつまつ)
血脈 (けつみゃく)
欠落 (けつらく)
欠礼 (けつれい)
健気 (けなげ)
建議 (けんぎ)
県議 (けんぎ)
健康 (けんこう)
建国 (けんこく)
建材 (けんざい)
健勝 (けんしょう)
健児 (けんじ)
健全 (けんぜん)
県民 (けんみん)
見料 (けんりょう)
芸事 (げいごと)
芸者 (げいしゃ)
芸当 (げいとう)
芸人 (げいにん)
芸名 (げいめい)
月給 (げっきゅう)
月産 (げっさん)
月末 (げつまつ)
月利 (げつり)
月例 (げつれい)
原案 (げんあん)
原型 (げんけい)
原告 (げんこく)
原産 (げんさん)
原産地 (げんさんち)
原材料 (げんざいりょう)
原種 (げんしゅ)
原初 (げんしょ)
原住民 (げんじゅうみん)
言説 (げんせつ)
原付 (げんつき)
原典 (げんてん)
原動機 (げんどうき)
原料 (げんりょう)
考案 (こうあん)
好意 (こうい)
高位 (こうい)
公印 (こういん)
好運 (こううん)
光栄 (こうえい)
考課 (こうか)
航海 (こうかい)
公会堂 (こうかいどう)
幸か不幸か (こうかふこうか)
好感 (こうかん)
高官 (こうかん)
公害 (こうがい)
好機 (こうき)
高給 (こうきゅう)
公共 (こうきょう)
公共物 (こうきょうぶつ)
高金利 (こうきんり)
航空 (こうくう)
航空機 (こうくうき)
行軍 (こうぐん)
光景 (こうけい)
口径 (こうけい)
工芸 (こうげい)
航行 (こうこう)
公告 (こうこく)
広告 (こうこく)
光合成 (こうごうせい)
交差 (こうさ)
公差 (こうさ)
考察 (こうさつ)
高察 (こうさつ)
高札 (こうさつ)
公司 (こうし)
好色 (こうしょく)
交信 (こうしん)
好事家 (こうずか)
交戦 (こうせん)
公選 (こうせん)
好戦的 (こうせんてき)
公然 (こうぜん)
高卒 (こうそつ)
後続 (こうぞく)
好男子 (こうだんし)
好調 (こうちょう)
交通機関 (こうつうきかん)
好都合 (こうつごう)
高低 (こうてい)
公的 (こうてき)
好天 (こうてん)
好転 (こうてん)
光熱 (こうねつ)
高熱 (こうねつ)
公費 (こうひ)
工費 (こうひ)
交付 (こうふ)
好物 (こうぶつ)
工法 (こうほう)
航法 (こうほう)
公民 (こうみん)
公民館 (こうみんかん)
公約 (こうやく)
口約 (こうやく)
功利 (こうり)
高利 (こうり)
好例 (こうれい)
航路 (こうろ)
功労 (こうろう)
声変り (こえがわり)
声変わり (こえがわり)
固化 (こか)
小型 (こがた)
小型機 (こがたき)
古希 (こき)
子機 (こき)
国産 (こくさん)
国産車 (こくさんしゃ)
国史 (こくし)
国選 (こくせん)
告知 (こくち)
告白 (こくはく)
告発 (こくはつ)
国費 (こくひ)
告別 (こくべつ)
国民 (こくみん)
国連 (こくれん)
固形 (こけい)
心得 (こころえ)
心付け (こころづけ)
心無 (こころな)
